
qstr_Next_Page|下 一 页 
qstr_Game_Rules:^|游 戏 规 则 ： ^
qstr_0|0 
qstr_Show_game_rules|显 示 游 戏 规 则 
qstr_Kingdom_of_{s7}|{s7} 王 国 
qstr_Continue...|继 续 …… 
qstr_Red:|红 ： 
qstr_Green:|绿 : 
qstr_Blue:|蓝 : 
qstr_Candidate_#1:_{s1}|一 号 侯 选 者 ： {s1}
qstr_Candidate_#2:_{s1}|二 号 侯 选 者 ： {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}的 {s3}希 望 能 够 选 出 一 个 新 的 元 帅 ，并 邀 请 了 他 的 封 臣 们 给 他 一 些 建 议 。 {s1}和 {s2}应 该 是 候 选 人 。 
qstr_Who_do_you_wish_to_s|你 想 要 支 持 谁 ？ 
qstr_{!}{s1}|{!}{s1}
qstr_{s1}_gives_his_suppo|{s1}支 持 {s2} 。 
qstr_Number_of_Supporters|支 持 者 的 数 量 ： {reg0}
qstr_{s2}_has_heard_his_v|{s2}听 从 了 他 的 封 臣 们 的 建 议 。 他 选 择 了 {s1}来 做 {s3}的 元 帅 。 
qstr_Number_of_men_knocke|死 伤 人 数 ： {reg1}
qstr_Number_of_men_left:_|剩 余 人 数 ： {reg1}
qstr_Opponents_Beaten:_{r|击 倒 对 手 数 量 ： {reg1}
qstr_Opponents_Remaining:|剩 余 对 手 数 量 ： {reg1}
qstr_Remain_in_retirement|决 定 退 休 。 
qstr_Go_back_to_the_adven|继 续 冒 险 。 
qstr_You_have_retired_at_|你 在 经 过 {reg5}天 的 冒 险 到 达 {reg4}级 的 时 候 决 定 退 休 了 。 
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数 ： {reg0}
qstr_{!}{reg0?+:}{reg0}|{!}{reg0?+:}{reg0}
qstr_Friendly_Settlements|友 军 领 地 数 ： {reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数 ： {reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主 ： {reg0}
